source_url,publisher_domain,headline,snippet,deportee_count,origin_country,destination_country,conducting_agency,transport_mode,date_discovered,Urgency,DeportationType
https://www.eastriding.gov.uk/url/easysite-asset-619929/,www.eastriding.gov.uk,Refugee Council: Home,"3 days ago ... Born in the aftermath of World War II, we've been empowering refugees to rebuild their lives in Britain for more than seventy years.",0,,rebuild their lives in Britain for more than seventy years,Unknown,unknown,2025-08-30T16:00:00.541928Z,Low,Group
https://jobs.justice.gov.uk/careers/JobDetail/9332-Foreign-National-Offender-Specialist/9332,jobs.justice.gov.uk,9332 - Foreign National Offender Specialist - 9332 - Ministry of Justice,4 days ago ... ... deported/released to Immigration Removal Centres (IRC). The job holder will disseminate this information to the prison's Senior Management and to HMPPS FNO ...,0,,Immigration Removal Centres,ICE,unknown,2025-08-30T16:00:00.542343Z,Low,Group
https://www.civilservicejobs.service.gov.uk/csr/jobs.cgi?jcode=1967513,www.civilservicejobs.service.gov.uk,Case Administrator OMU (Ref: 9328) - Civil Service Jobs - GOV.UK,4 days ago ... o Foreign Nationals/Deportation/Immigration. o Risk to Children/Safeguarding Children. o Harassment/Restraining Orders. o Category A administration. o Recall ...,0,,Children,ICE,train,2025-08-30T16:00:00.542826Z,Low,Group
https://jobs.justice.gov.uk/careers/JobDetail/9328-Case-Administrator-OMU/9328,jobs.justice.gov.uk,9328 - Case Administrator OMU - 9328 - Ministry of Justice,4 days ago ... o Foreign Nationals/Deportation/Immigration. o Risk to Children/Safeguarding Children. o Harassment/Restraining Orders. o Category A administration. o Recall ...,0,,Children,ICE,train,2025-08-30T16:00:00.543354Z,Low,Group
https://www.ice.gov/youtube,www.ice.gov,wwwICEgov - YouTube,16 hours ago ... Enforcement and Removal Operations - An Introduction. wwwICEgov. 131K views. 11 ... #ICE + U.S. Park Police = law and order restored on the National Mall.,0,,,ICE,unknown,2025-08-30T16:00:00.544136Z,Low,Group
https://www.ice.gov/news/releases/ice-metro-pd-arrest-illegal-mexican-alien-previously-charged-sex-crimes-against,www.ice.gov,"ICE, Metro PD arrest illegal Mexican alien previously charged with ...","3 days ago ... Immigration officials arrested Perez-Teofani and reinstated his order of removal. ICE again removed Perez-Teofani from the United States to Mexico Nov. 23, 2014 ...",0,the United States to Mexico Nov,Mexico Nov,ICE,unknown,2025-08-30T16:00:00.544874Z,Low,Group
https://www.ice.gov/detain/detention-facilities/california-city-detention-facility,www.ice.gov,California City Detention Facility | ICE,3 days ago ... Removal · Recalcitrant Countries · Self-Deportation · Immigration Enforcement ... NOTE: Please reference detainee name and alien number on money order:,0,,,ICE,unknown,2025-08-30T16:00:00.545468Z,Low,Group
https://www.ice.gov/news/releases/ice-chicago-removes-sierra-leonean-convicted-visa-fraud,www.ice.gov,ICE Chicago removes Sierra Leonean convicted of visa fraud | ICE,"4 days ago ... An immigration judge ordered Knox removed June 6, 2008, while in custody, and he was later placed under an order of supervision pending removal. Updated: 08 ...",0,,,ICE,unknown,2025-08-30T16:00:00.546003Z,Low,Criminal
https://www.ice.gov/news/releases/ice-deports-international-fugitive-wanted-spain-murder-and-drug-trafficking,www.ice.gov,Archived: ICE deports international fugitive wanted in Spain for ...,"4 days ago ... ... deported last night to Spain by U.S. Immigration and Customs Enforcement (ICE) deportation officers. Sergio Lopez-Martinez, a Spanish national, was removed ...",0,,Spain by,ICE,unknown,2025-08-30T16:00:00.546498Z,Low,Group
https://www.ice.gov/features/history,www.ice.gov,Archived: History of ICE | ICE,"4 days ago ... The Office of Detention and Removal Operations removes John Demjanjuk, a former Nazi death camp guard, to Germany through a court order of removal the U.S. ...",0,,Germany through,ICE,unknown,2025-08-30T16:00:00.546934Z,Low,Group
https://www.ice.gov/detain/detention-facilities/kay-county-detention-center,www.ice.gov,Kay County Detention Center | ICE,4 days ago ... Delivery bonds are posted when a person has been taken into ICE custody and placed into removal proceedings while in the United States. ... order. If ...,0,,ICE custody and placed into removal proceedings while in the United States,ICE,unknown,2025-08-30T16:00:00.547454Z,Low,Group
https://www.ice.gov/features/cpaa,www.ice.gov,"Cultural Property, Art and Antiquities Investigations | ICE","5 days ago ... ... repatriation ceremony at the Residence of the Spanish Ambassador to the United States. The letter, originally written in 1493, was stolen from the National ...",0,the National,the United States,ICE,unknown,2025-08-30T16:00:00.547910Z,Low,Group
https://www.ice.gov/legal-notices,www.ice.gov,Legal Notices | ICE,"5 days ago ... ... removal in removal proceedings. To address such cases, for 180 days from the ... order of removal signed by an immigration judge or the individual is ...",0,the,address such cases,ICE,unknown,2025-08-30T16:00:00.548340Z,Low,Individual
https://www.ice.gov/facebook,www.ice.gov,Immigration And Customs Enforcement (ICE),6 days ago ... ... deportation. Get and share details on our Worst of the Worst webpage. May be an image of 1 person · Ani De La Cruz and 895 others · 󰍸. 896 · 󰤦 239 · Immigration ...,0,,,ICE,unknown,2025-08-30T16:00:00.551677Z,Low,Group
https://www.ice.gov/news/releases/ice-newark-arrests-child-predator-released-under-irresponsible-nyc-sanctuary-policies,www.ice.gov,ICE Newark arrests child predator released under irresponsible ...,5 days ago ... ICE Enforcement and Removal Operations Newark officers arrested the child ... Mendez is also subject to a final order of removal a judge issued in July ...,0,,,ICE,unknown,2025-08-30T16:00:00.552693Z,Low,Group
https://www.ice.gov/features/ccht,www.ice.gov,Archived: DHS Center for Countering Human Trafficking | ICE,5 days ago ... The Department of Homeland Security (DHS) Center for Countering Human Trafficking (CCHT) oversees the DHS mission to combat human trafficking.,0,,combat human trafficking,ICE,unknown,2025-08-30T16:00:00.553142Z,Low,Group
https://www.ice.gov/join,www.ice.gov,America Needs You | ICE,5 days ago ... Deportation Officer. For the enforcers. For the brave. For those who fight to keep America safe. General Over 40 y/o. Criminal Investigator. For the protectors ...,0,,keep America safe,ICE,unknown,2025-08-30T16:00:00.554170Z,Low,Criminal
https://www.ice.gov/news/releases/2-naturalized-us-citizens-disrespect-legal-immigration-process-harboring-illegal,www.ice.gov,2 naturalized US citizens disrespect legal immigration process by ...,5 days ago ... Self-Deportation · Immigration Enforcement Frequently Asked Questions · ERO Statistics Dashboard. ICE ERO. How ICE Enforces Immigration Laws. ICE identifies and ...,0,,,ICE,unknown,2025-08-30T16:00:00.554749Z,Low,Group
https://www.ice.gov/news/releases/former-armed-forces-liberia-commanding-general-charged-immigration-fraud-perjury,www.ice.gov,Archived: Former Armed Forces of Liberia commanding general ...,"5 days ago ... ... deportation, exclusion, or removal.” Additionally, while under oath, Wright falsely answered similar queries posed by the examining U.S. Citizenship and ...",0,,,Unknown,ship,2025-08-30T16:00:00.555324Z,Low,Group
https://www.ice.gov/news/releases/ice-arrests-venezuelan-fugitive-wanted-attempting-kill-innocent-woman-during-violent,www.ice.gov,ICE arrests Venezuelan fugitive wanted for attempting to kill an ...,"5 days ago ... “Thanks to a tip from the U.S. Border Patrol, we were able to track him down and safely take him into custody so that he can be repatriated to Venezuela to face ...",0,the,kill an,ICE,unknown,2025-08-30T16:00:00.555850Z,Low,Group
https://www.ice.gov/return,www.ice.gov,Return to Mission | ICE,5 days ago ... Self-Deportation · Immigration Enforcement Frequently Asked Questions · ERO Statistics Dashboard. ICE ERO. How ICE Enforces Immigration Laws. ICE identifies and ...,0,,Mission,ICE,unknown,2025-08-30T16:00:00.556315Z,Low,Group
https://www.ice.gov/detain/detainee-death-reporting,www.ice.gov,Detainee Death Reporting | ICE,"5 days ago ... Self-Deportation · ERO Statistics Dashboard. ICE ERO. How ICE Enforces Immigration Laws. ICE identifies and apprehends removable aliens, detains these ...",0,,,ICE,unknown,2025-08-30T16:00:00.556625Z,Low,Group
https://www.ice.gov/features/opioid-crisis,www.ice.gov,Combating the Opioid Crisis | ICE,"5 days ago ... With opioids, users can order from their living room and never go out to the street. “They can get their fix just by ordering it online for much cheaper and ...",0,their living room and never go out to the street,the street,ICE,unknown,2025-08-30T16:00:00.556911Z,High,Group
https://www.ice.gov/news/releases/ice-hold-hiring-event-arlington-texas-seeks-officers-and-attorneys-support-public,www.ice.gov,"ICE to hold hiring event in Arlington, Texas; seeks officers and ...",8 days ago ... Self-Deportation · Immigration Enforcement Frequently Asked Questions · ERO Statistics Dashboard. ICE ERO. How ICE Enforces Immigration Laws. ICE identifies and ...,0,,hold hiring event in Arlington,ICE,unknown,2025-08-30T16:00:00.557216Z,Low,Group
https://www.reuters.com/video/watch/idRW055428082025RP1?chan=sports&location=channel-item,www.reuters.com,World's first gene-edited horses are shaking up the genteel sport of ...,5 hours ago ... Mexican immigrant describes his deportation experience under Trump. 00:55. Mexican immigrant describes his deportation experience under Trump. Firefighters ...,0,,,Unknown,unknown,2025-08-30T16:00:00.558246Z,Low,Group
https://www.reuters.com/world/us/us-judge-halts-trump-effort-expand-fast-track-deportations-2025-08-30/,www.reuters.com,US judge halts Trump effort to expand fast-track deportations | Reuters,12 hours ago ... ... expulsion. The Reuters Tariff Watch newsletter is your daily guide to the latest global trade and tariff news. Sign up here. That expedited removal process ...,0,,expand fast,Unknown,unknown,2025-08-30T16:00:00.558963Z,Low,Group
https://www.reuters.com/sustainability/human-rights/,www.reuters.com,Human Rights News | Today's Latest Stories | Reuters,"16 hours ago ... Haitian residents return to neighborhoods abandoned by gang, in Port-au-Prince. Legalcategory· 36 mins ago. US EPA fires some employees who signed letter ...",0,,neighborhoods abandoned by gang,Unknown,unknown,2025-08-30T16:00:00.559504Z,Low,Group
https://www.reuters.com/info-pages/transcript/66f102a6-8587-11f0-995a-7fb9044f5c44,www.reuters.com,"Trump tariffs, Abbas, Meta chatbots, UK migration and Tony Hawk","6 hours ago ... ... deportations of asylum seekers. Nigel Farage: Unless we start deporting people, I predicted this would turn into, and yes I use the word, invasion. Tara ...",0,,,Unknown,unknown,2025-08-30T16:00:00.560059Z,Low,Group
https://www.reuters.com/video/world-news/,www.reuters.com,Egypt detains dozens of teenaged TikTokkers in crackdown,16 hours ago ... Reuters news in video: footage captured by award winning Reuters journalists from around the globe.,0,around the globe,,Unknown,unknown,2025-08-30T16:00:00.560443Z,Low,Group
https://www.reuters.com/video/,www.reuters.com,Reuters Video,"16 hours ago ... Home. Brooklyn Banks revival brings back NYC skating culture. August 29, 2025. The Brooklyn Banks, a storied skateboarding plaza beneath the Brooklyn Bridge ...",0,,,Unknown,unknown,2025-08-30T16:00:00.560925Z,Low,Group
https://www.reuters.com/pictures/week-photos-2025-08-29/TOAPPYYVRBLPFJV5KCM7VA3PEM,www.reuters.com,"The week in photos - August 29, 2025 | Reuters","23 hours ago ... Kilmar Abrego Garcia, the migrant whose wrongful deportation to El Salvador made him a symbol of Trump's aggressive immigration policies, holds his wife ...",0,,El Salvador made him,Unknown,unknown,2025-08-30T16:00:00.561438Z,Low,Group
https://www.reuters.com/business/aerospace-defense/putin-lambasts-trade-sanctions-eve-visit-china-2025-08-29/,www.reuters.com,Putin lambasts trade sanctions on eve of visit to China | Reuters,"16 hours ago ... Wanted by the International Criminal Court over accusations of the war crime of illegally deporting hundreds of children from Ukraine, Putin last travelled in ...",0,Ukraine,China,Unknown,unknown,2025-08-30T16:00:00.577063Z,Low,Criminal
https://www.reuters.com/world/us/us-air-force-offer-military-funeral-honors-slain-capitol-rioter-2025-08-29/,www.reuters.com,US Air Force to offer military funeral honors to slain Capitol rioter ...,23 hours ago ... United StatescategoryUS judge halts Trump effort to expand fast-track deportations. 4:28 AM UTC. LSEG Workspace. World · North-Rhine Westphalia CDU party ...,0,,offer military funeral honors to slain Capitol rioter,Unknown,unknown,2025-08-30T16:00:00.577653Z,Low,Group
https://www.reuters.com/business/aerospace-defense/defying-west-chinas-xi-gathers-axis-upheaval-military-parade-2025-08-28/,www.reuters.com,"Defying West, China's Xi gathers 'Axis of Upheaval' at military ...","1 day ago ... Putin, wanted by the International Criminal Court over accusations of the war crime of illegally deporting hundreds of children from Ukraine, last travelled in ...",0,Ukraine,,Unknown,unknown,2025-08-30T16:00:00.578176Z,Low,Criminal
https://www.reuters.com/legal/government/trump-wrongly-ended-protections-venezuelan-migrants-us-appeals-court-rules-2025-08-29/,www.reuters.com,"Trump wrongly ended protections for Venezuelan migrants, US ...",20 hours ago ... ... protections from deportation granted to 600000 Venezuelans living in the United States during his Democratic predecessor Joe Biden's tenure.,0,deportation granted to,,Unknown,unknown,2025-08-30T16:00:00.579523Z,Low,Group
https://www.reuters.com/world/uk/uk-wins-court-ruling-keep-asylum-seekers-hotel-risks-angry-response-2025-08-29/,www.reuters.com,UK wins court ruling to keep asylum seekers in hotel but risks angry ...,20 hours ago ... ... deportations of asylum seekers. While his proposals were criticised as unworkable by lawyers and his party has just four lawmakers in the 650-seat ...,0,,keep asylum seekers in hotel but risks angry,Unknown,unknown,2025-08-30T16:00:00.580088Z,Low,Group
https://www.reuters.com/investigations/russia-turns-ukrainian-nuclear-city-into-stronghold-fear-2025-08-29/,www.reuters.com,Russia turns a Ukrainian nuclear city into a stronghold of fear | Reuters,"1 day ago ... Since the invasion, the team has uncovered details of killings in Bucha and the expulsion of dozens of toddlers from Ukrainian orphanages, and it has also ...",0,Ukrainian orphanages,,Unknown,unknown,2025-08-30T16:00:00.580608Z,Low,Group
https://www.reuters.com/legal/civil-rights/,www.reuters.com,Civil Rights News | Today's Latest Stories | Reuters,2 days ago ... The U.S. Supreme Court has acted in a series of cases involving challenges to executive orders signed by President Donald Trump and actions by his ...,0,,executive orders signed by President Donald Trump and actions by his,Unknown,unknown,2025-08-30T16:00:00.581091Z,Low,Group
https://www.reuters.com/pictures/photos-week-2025-08-28/XD7M3FTI2FJIZFSRUO6JMVPZTU,www.reuters.com,"Photos of the week - August 28, 2025 | Reuters","2 days ago ... ... deported migrant Abrego Garcia appears for a check in at the ICE Baltimore field office. [7/22]. Kilmar Abrego Garcia, the migrant whose wrongful deportation ...",0,,,ICE,unknown,2025-08-30T16:00:00.581635Z,Low,Group
https://www.reuters.com/world/africa/rwanda-received-migrants-deported-us-earlier-this-month-2025-08-28/,www.reuters.com,Rwanda received migrants deported from the US earlier this month ...,"2 days ago ... Rwanda received seven migrants deported from the United States earlier this month, a government spokesperson said in a statement on Thursday, ...",0,the US earlier this month,,Unknown,unknown,2025-08-30T16:00:00.582195Z,Low,Group
https://www.reuters.com/video/watch/idRW027028082025RP1/?chan=world-news,www.reuters.com,Argentina's Milei rushed away from rally as protesters throw rocks,2 days ago ... Mexican immigrant describes his deportation experience under Trump. 00:55. Mexican immigrant describes his deportation experience under Trump. Firefighters ...,0,rally as protesters throw rocks,,Unknown,unknown,2025-08-30T16:00:00.583319Z,Low,Group
https://www.reuters.com/pictures/photos-week-2025-08-28/TOAPPYYVRBLPFJV5KCM7VA3PEM,www.reuters.com,"Photos of the week - August 28, 2025 | Reuters","2 days ago ... Kilmar Abrego Garcia, the migrant whose wrongful deportation to El Salvador made him a symbol of Trump's aggressive immigration policies, holds his wife ...",0,,El Salvador made him,Unknown,unknown,2025-08-30T16:00:00.583972Z,Low,Group
https://www.reuters.com/video/watch/idRW027728082025RP1,www.reuters.com,Fight breaks out between Mexican senate leaders as session ends,2 days ago ... Mexican immigrant describes his deportation experience under Trump. 00:55. Mexican immigrant describes his deportation experience under Trump. Firefighters ...,0,,,Unknown,unknown,2025-08-30T16:00:00.584951Z,Low,Group
https://www.reuters.com/authors/gram-slattery/,www.reuters.com,Gram Slattery | Reuters,"3 days ago ... Worldcategory· August 1, 2025. Exclusive: US plans to fund deportations from Costa Rica, document shows ... Migrants, who arrived on a deportation flight from the ...",0,Costa Rica,fund deportations from Costa Rica,Unknown,charter_flight,2025-08-30T16:00:00.585401Z,Low,Group
https://www.bbc.com/audio/brand/b006qtl3,www.bbc.com,The World Tonight - BBC Audio,"16 hours ago ... The World Tonight, The World Tonight, Will Reform's deportation plan reshape UK politics? ... Nigel Farage unveils plans to deport more than half a million ...",0,,deport more than half,Unknown,unknown,2025-08-30T16:00:00.586361Z,Low,Group
https://www.bbc.com/audio/brand/p05299nl,www.bbc.com,Newscast - BBC Audio,"16 hours ago ... Newscast, Nigel Farage's Deportation Plan. NewscastNigel Farage's Deportation Plan. NewscastNigel Farage's Deportation Plan. Reform UK say they would pay ...",0,,,Unknown,unknown,2025-08-30T16:00:00.587020Z,Low,Group
https://www.bbc.com/audio/play/live/bbc_world_service,www.bbc.com,World Service | Listen Live - BBC Audio,16 hours ago ... 17:06 - 18:00. Business Matters. Trump tariffs ruled illegal by US appeals court. 18:00 - 18:06. BBC News. 30/08/2025 01:01 GMT. 18:06 - 18:30. The Newsroom.,0,,,ICE,bus,2025-08-30T16:00:00.587637Z,Low,Group
https://www.bbc.com/news/1/low/uk?page=22,www.bbc.com,UK | Latest News & Updates | BBC News,"16 hours ago ... ... deported, says son of Afghan caught in UK data breach. Attribution. Asia. A female refugee covered with a veil, though her eyes and nose can still be. 09:14 15 ...",0,,,Unknown,unknown,2025-08-30T16:00:00.588228Z,Low,Group
https://www.bbc.com/news/articles/c87evwej8l1o,www.bbc.com,Asylum Welcome calls for 'unity' after Reform deportation pledge,"1 day ago ... ... back migrants, with sanctions potentially imposed on uncooperative countries. 'Isolation and despair'. In response, the letter said asylum seekers were ...",0,,,Unknown,unknown,2025-08-30T16:00:00.589324Z,Low,Group
https://www.bbc.com/news/articles/c0qlxxxpq35o,www.bbc.com,Home Office set to pull 'balloon-craft' job at migrant detention centre,"1 day ago ... Minister Seema Malhotra has called on the contractor to remove the jobs at the immigration removal centre ... Epping hotel order could spark protests, court told ...",0,,pull,UK Home Office,unknown,2025-08-30T16:00:00.590074Z,Low,Group
https://www.bbc.com/worklife/tags/migration,www.bbc.com,Migration,2 days ago ... Farage vows mass deportations to tackle small boats. Plans outlined by the Reform UK leader would see the country taken out of the European Convention on ...,0,,tackle small boats,Unknown,ship,2025-08-30T16:00:00.591021Z,Low,Mass
https://www.bbc.com/audio/play/w172zss7g224mdd,www.bbc.com,Newshour | Thailand's prime minister removed from office - BBC Audio,1 day ago ... ... deported and left in the sea by the Indian authorities. (IMAGE: Thailand's Paetongtarn Shinawatra leaves following a press conference after the ...,0,office,,ICE,unknown,2025-08-30T16:00:00.591711Z,Low,Group
https://www.bbc.com/news/articles/c8de3507lp5o,www.bbc.com,Conservatives win Broxtowe by-election by five votes,1 day ago ... 'Call for unity' after Reform deportation pledge. Nigel Farage pledged mass deportations if he was elected as Prime Minister. 19 hrs ago. 1 day ago. A red and ...,0,,,Unknown,unknown,2025-08-30T16:00:00.592367Z,Low,Mass
https://www.bbc.com/audio/brand/b006qjxt,www.bbc.com,Six O'Clock News - BBC Audio,"2 days ago ... He said Reform would deport up to 600,000 people if it won the next election · 26 Aug 2025 •. 30 mins.",0,,,Unknown,unknown,2025-08-30T16:00:00.592948Z,Low,Group
https://www.bbc.com/news/articles/cjeyjep9pw3o,www.bbc.com,Tourist in Kenya pouring beer down elephant's trunk sparks anger,1 day ago ... The Instagram videos attracted hundreds of critical comments - with some calling for the man's deportation - before the posts were pulled down. The elephant ...,0,,,Unknown,unknown,2025-08-30T16:00:00.594814Z,High,Group
https://www.bbc.com/news/articles/ckg45vxyn3po,www.bbc.com,"SEND, potholes and safety on Reform council's agenda in ...",23 hours ago ... 'Call for unity' after Reform deportation pledge. Nigel Farage pledged mass deportations if he was elected as Prime Minister. 19 hrs ago · 1 day ago. A red and ...,0,,,Unknown,unknown,2025-08-30T16:00:00.595471Z,Low,Mass
https://www.bbc.com/news/articles/cewy972knx4o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,www.bbc.com,Row after Exeter councillor wears official ID to hotel protest,1 day ago ... 'Call for unity' after Reform deportation pledge ... Nigel Farage pledged mass deportations if he was elected as Prime Minister. ... Police officers wearing yellow ...,0,,hotel protest,ICE,unknown,2025-08-30T16:00:00.596228Z,Low,Mass
https://www.bbc.com/audio/play/p0lzsm10,www.bbc.com,Global News Podcast | Thai court removes prime ... - BBC Audio,"1 day ago ... ... deported from India. Also: how studying an 800-year-old oak tree could help save tomorrow's forests, and South Korea's new approach to tackling crime, using ...",0,India,tackling crime,Unknown,unknown,2025-08-30T16:00:00.596872Z,Low,Group
https://www.bbc.com/pidgin/topics/c95y35941vrt,www.bbc.com,Donald Trump - BBC News Pidgin,"3 days ago ... Irregulant migrants being deported from the Mitiga Airport in Tripoli, Libya in May 2025. Almost 8000 Cameroonians face deportation from US afta court approval.",0,the Mitiga Airport in Tripoli,,Unknown,unknown,2025-08-30T16:00:00.597703Z,Low,Group
https://www.bbc.com/news/articles/c4g0p0522zeo,www.bbc.com,Rohingya refugees: 'India put us on the boat like captives - then ...,2 days ago ... The BBC has also contacted India's Ministry of External Affairs several times but had not heard back by time of publication. Campaigners have often flagged that ...,0,,,Unknown,ship,2025-08-30T16:00:00.598303Z,Low,Group
https://www.bbc.com/news/articles/cz60z98nzx7o,www.bbc.com,Kpods: Caning and fines for those caught in Singapore drug vape ...,"2 days ago ... These include stiffer fines, longer jail terms and even caning. Foreigners may also be deported. While Singapore was one of the first places in the world to ban ...",0,,ban,Unknown,unknown,2025-08-30T16:00:00.598855Z,Low,Group
https://www.bbc.com/news/articles/c1dxl0kz690o,www.bbc.com,"St George's flags should be flown safely, say Northants councils",2 days ago ... 'Call for unity' after Reform deportation pledge ... Nigel Farage pledged mass deportations if he was elected as Prime Minister. ... A view of the exterior of the ...,0,,,Unknown,unknown,2025-08-30T16:00:00.606164Z,Low,Mass
https://www.bbc.com/news/articles/cly3523qrl8o,www.bbc.com,Does Reform pose an existential threat to the Scottish Conservatives?,"2 days ago ... These invariably involve Reform taking seats on the regional lists - which were fertile ground for the Conservatives in 2021, returning 26 of their 31 MSPs. The ...",0,,the Scottish Conservatives,Unknown,unknown,2025-08-30T16:00:00.606864Z,Low,Group
https://www.bbc.com/news/articles/ckg4xyv3k24o,www.bbc.com,County Durham and Darlington probation service rated 'inadequate',2 days ago ... Foreign criminals to face deportation after sentencing under new plans. More from the BBC. Just now. Three children of different ages are sat on the floor ...,0,the BBC,face deportation after sentencing under new plans,ICE,unknown,2025-08-30T16:00:00.607306Z,Low,Criminal
https://www.theguardian.com/politics/2025/aug/30/reform-uk-councillor-suspended-from-job-at-home-office-processing-asylum-claims,www.theguardian.com,Reform UK councillor suspended from job at Home Office ...,9 hours ago ... ... Nigel Farage rolls back on vow to deport all small-boat arrivals to the UK. 2d ago. Farage aims for hardline vibes with his mass deportation plan. 3d ago. The ...,0,job at Home Office,deport all small,UK Home Office,ship,2025-08-30T16:00:00.608761Z,Low,Mass
https://www.theguardian.com/australia-news/australian-politics,www.theguardian.com,Australian politics | The Guardian,16 hours ago ... The expulsion of the Iranian ambassador and Marles' meeting: parliament's week of abundance - video. Video 2:42. Nine demands Bob Katter apologise for ...,0,,,Unknown,unknown,2025-08-30T16:00:00.609622Z,Low,Group
